Wall time,Step,Value
1588341493.0231168,5,0.5
1588341493.2193778,6,0.7400000095367432
1588341494.0841515,11,0.6800000071525574
1588341494.489068,14,0.8299999833106995
1588341494.631687,15,0.75
1588341495.0150776,18,0.8299999833106995
1588341495.2624445,20,0.8299999833106995
1588341496.0243764,24,0.8799999952316284
1588341497.7132564,36,0.8399999737739563
1588341498.2192707,40,0.8299999833106995
1588341498.6040301,42,0.7400000095367432
1588341498.8574836,44,0.8899999856948853
1588341498.984178,45,0.8899999856948853
1588341499.250992,47,0.8399999737739563
1588341500.1726427,53,0.8600000143051147
1588341500.2973063,54,0.8700000047683716
1588341500.4350977,55,0.8600000143051147
1588341500.565749,56,0.8199999928474426
1588341500.6944053,57,0.8500000238418579
1588341501.9146101,65,0.8899999856948853
1588341502.3284864,68,0.8299999833106995
1588341502.8423204,71,0.7799999713897705
1588341502.9755766,72,0.8799999952316284
1588341503.0992486,73,0.8600000143051147
1588341503.2270305,74,0.8799999952316284
1588341503.871272,79,0.8799999952316284
1588341505.0258214,87,0.8399999737739563
1588341505.1512303,88,0.8700000047683716
1588341506.0529623,94,0.9100000262260437
1588341507.2145252,102,0.8799999952316284
1588341507.6015224,105,0.8299999833106995
1588341507.7295966,106,0.8100000023841858
1588341508.748954,113,0.8500000238418579
1588341509.125521,116,0.8100000023841858
1588341509.3905182,118,0.8899999856948853
1588341510.5408933,126,0.8600000143051147
1588341510.9054663,129,0.8999999761581421
1588341511.0231502,130,0.8500000238418579
1588341512.2789934,139,0.8500000238418579
1588341512.663432,141,0.8199999928474426
1588341512.781086,142,0.8700000047683716
1588341512.9017942,143,0.8700000047683716
1588341513.7679384,150,0.8600000143051147
1588341514.5431817,155,0.8899999856948853
1588341514.7919352,157,0.8999999761581421
1588341514.9106183,158,0.8999999761581421
1588341515.5521338,162,0.8899999856948853
1588341516.3869183,167,0.9100000262260437
1588341516.5644774,168,0.8799999952316284
1588341517.289229,171,0.8899999856948853
1588341518.0383298,177,0.8799999952316284
1588341518.1545565,178,0.9200000166893005
1588341518.4036531,180,0.8899999856948853
1588341518.9113886,183,0.8799999952316284
1588341519.1537478,185,0.8700000047683716
1588341519.3058987,186,0.8399999737739563
1588341519.5991154,188,0.8299999833106995
1588341519.849454,190,0.9100000262260437
1588341520.123055,191,0.9100000262260437
1588341521.048683,198,0.9100000262260437
1588341522.2505403,206,0.8899999856948853
1588341522.3801658,207,0.9100000262260437
1588341522.5128121,208,0.8899999856948853
1588341523.1820476,212,0.8700000047683716
1588341524.665552,222,0.8600000143051147
1588341524.7866938,223,0.9300000071525574
1588341525.0545506,225,0.8899999856948853
1588341525.5696466,229,0.8100000023841858
1588341526.1231704,232,0.9300000071525574
1588341526.2438908,233,0.8399999737739563
1588341526.3665657,234,0.9100000262260437
1588341526.7335832,237,0.8700000047683716
1588341528.4061203,249,0.8700000047683716
1588341529.2718322,255,0.8799999952316284
1588341529.6543176,258,0.8399999737739563
1588341529.8930118,260,0.8199999928474426
1588341530.151788,261,0.8399999737739563
1588341530.4021237,263,0.8500000238418579
1588341530.9167008,267,0.9300000071525574
1588341531.6027935,271,0.9300000071525574
1588341531.835153,273,0.8600000143051147
1588341532.4355788,278,0.949999988079071
1588341534.4419367,292,0.8799999952316284
1588341535.1267064,297,0.8999999761581421
1588341535.2493515,298,0.8500000238418579
1588341535.877263,302,0.8500000238418579
1588341535.995267,303,0.8999999761581421
1588341536.4720287,307,0.8899999856948853
1588341536.5926683,308,0.8500000238418579
1588341536.8340547,310,0.8999999761581421
1588341537.3409727,313,0.8700000047683716
1588341537.9743001,318,0.8600000143051147
1588341538.1029253,319,0.9399999976158142
1588341538.2245977,320,0.8700000047683716
1588341538.976344,325,0.8600000143051147
1588341539.0952394,326,0.8799999952316284
1588341539.2103574,327,0.8199999928474426
1588341539.6132925,330,0.8799999952316284
1588341540.96261,339,0.949999988079071
1588341541.3698702,341,0.8700000047683716
1588341542.1218884,347,0.8899999856948853
1588341543.1034336,353,0.8700000047683716
1588341543.2210858,354,0.8199999928474426
1588341543.9595578,360,0.9399999976158142
1588341544.4963593,363,0.8899999856948853
1588341545.053557,367,0.800000011920929
1588341545.933204,371,0.8899999856948853
1588341546.2286057,373,0.8600000143051147
1588341546.841867,377,0.8700000047683716
1588341546.9618833,378,0.9200000166893005
1588341547.0815485,379,0.949999988079071
1588341547.5542967,381,0.8899999856948853
1588341548.2998128,386,0.8799999952316284
1588341549.1181443,391,0.8999999761581421
1588341549.2797902,392,0.8700000047683716
1588341549.408446,393,0.8700000047683716
1588341551.443376,408,0.9100000262260437
1588341552.502569,415,0.8899999856948853
1588341553.384359,421,0.8999999761581421
1588341553.5060298,422,0.9100000262260437
1588341553.759117,424,0.8799999952316284
1588341554.0034943,426,0.9100000262260437
1588341554.488165,430,0.9300000071525574
1588341555.773962,439,0.9300000071525574
1588341556.1908517,441,0.949999988079071
1588341556.329492,442,0.9300000071525574
1588341556.6992908,445,0.8500000238418579
1588341557.7034676,451,0.949999988079071
1588341558.7465088,459,0.8799999952316284
1588341558.868736,460,0.8899999856948853
1588341559.3872213,463,0.8700000047683716
1588341559.5208406,464,0.8600000143051147
1588341560.8221252,473,0.8999999761581421
1588341560.9747162,474,0.9399999976158142
1588341562.4676156,485,0.8500000238418579
1588341562.837631,488,0.8700000047683716
1588341562.9644008,489,0.8999999761581421
1588341563.3554757,491,0.9599999785423279
1588341563.611634,493,0.8999999761581421
1588341565.5995824,507,0.8399999737739563
1588341566.4188116,512,0.8799999952316284
1588341566.7023022,514,0.8999999761581421
1588341567.115411,517,0.8799999952316284
1588341567.3718925,519,0.8899999856948853
1588341568.1404028,524,0.8999999761581421
1588341568.2595997,525,0.9399999976158142
1588341569.1587675,531,0.9100000262260437
1588341569.4201012,533,0.8899999856948853
1588341569.5447357,534,0.9200000166893005
1588341569.8069794,536,0.9200000166893005
1588341569.9403226,537,0.8700000047683716
1588341570.3271325,540,0.9100000262260437
1588341570.7678401,542,0.8700000047683716
1588341571.4341366,547,0.9399999976158142
1588341571.562982,548,0.8999999761581421
1588341572.997345,557,0.8999999761581421
1588341573.2586725,559,0.9200000166893005
1588341573.941461,563,0.8500000238418579
1588341574.1020305,564,0.8999999761581421
1588341574.2336783,565,0.8700000047683716
1588341574.7548068,569,0.8799999952316284
1588341575.4462016,573,0.949999988079071
